"city","pop100","hu100","arealand","areawater","p006001","p006002","p006003","p006004","p006005","p006006","p006007","p006008","p007001","p007002","p007010","hct007002","hct007001","hct007052","p087001","p053001","Purban","Prural","malel15","male15","malel65","male65to75","male75p","femalel15","female15","femalel65","female65to75","female75p","Pdrive","Ppublic","Pmalehigh","Pmaledeg","Pfemalehigh","Pfemaledeg","Phigh","Pdeg","Pmaleunem","Pfemaleunem","Punem","Ppovertyl5","Ppovertye5","Ppoverty6to11","Ppoverty12to17","Ppoverty18to64","Ppoverty65to74","Ppoverty75p","Ppoverty","Pdiffhouse","Pdiffcounty","Pdiffstate","Powner","Prented","Powner65p","Prented65p","moved165p","moved265p","moved365p","moved465p","moved565p","moved665p","Pmoved165p","Pmoved265p","Pmoved365p","Pmoved465p","Pmoved565p","Pmoved665p","ownermoved165p","ownermoved265p","ownermoved365p","ownermoved465p","ownermoved565p","ownermoved665p","rentermoved165p","rentermoved265p","rentermoved365p","rentermoved465p","rentermoved565p","rentermoved665p"
"akr",542899,230880,1068948386,19005659,542899,452810,71120,1184,7735,144,1777,8129,542899,538408,4491,152996,217788,64792,533162,42304,0.9570398914,0.0429601086,58598,3905,231127,17734,13205,55383,3606,235027,21986,23820,0.9375149953,0.0161717244,0.8576486502,0.3245074399,0.8563351764,0.2859590375,0.8569510127,0.3040328696,0.0507697347,0.0495194956,0.0501803492,0.1749172115,0.1491401184,0.1504648837,0.1103567293,0.0882610319,0.0585792183,0.0795836431,0.0993900541,0.4163341466,0.152100547,0.0598121845,0.7024996786,0.2975003214,0.7974615553,0.2025384447,2565,6157,4726,6718,7639,22462,0.0510275131,0.1224859252,0.0940179442,0.1336463286,0.1519684883,0.4468538007,877,2962,2897,4796,6788,21766,1688,3195,1829,1922,851,696
"albu",556678,239074,3020015825,6776278,556678,393666,15303,22964,9864,532,88403,25946,556678,323151,233527,140605,220936,80331,547422,38788,0.9566661517,0.0433338483,59378,3525,243691,15448,11233,58095,3881,249080,18648,18578,0.904458404,0.0147721889,0.8423776993,0.384817397,0.8459895156,0.3412534362,0.8442678711,0.3620190699,0.0582209847,0.0564632605,0.0573944173,0.2100010589,0.1912256267,0.1861254296,0.1583392128,0.1266119139,0.0823366114,0.1018776326,0.1369820723,0.5107575316,0.212050596,0.1511070043,0.636406018,0.363593982,0.7836744407,0.2163255593,3389,6721,5630,6747,7447,12086,0.0806520704,0.159947644,0.1339838172,0.160566397,0.1772251309,0.2876249405,1337,3677,4034,5323,6866,11693,2052,3044,1596,1424,581,393
"amar",217858,87859,4723296989,53677556,217858,171848,12169,1557,4121,61,23045,5057,217858,175138,42720,53485,82000,28515,208958,36102,0.8886660118,0.1113339882,24858,1622,96756,6377,4157,24274,1395,95313,7695,7560,0.9494566363,0.0035923217,0.7953434368,0.2811659741,0.8051265104,0.2626761879,0.8003850283,0.271637481,0.0547699488,0.0562147908,0.0554428731,0.2074096754,0.2226828546,0.1938282508,0.1371368199,0.1260731646,0.0888616184,0.1015155848,0.1375348156,0.5191626553,0.2854304208,0.083992787,0.6522560976,0.3477439024,0.8102023368,0.1897976632,1360,2750,1952,3090,2928,5465,0.0775149615,0.1567398119,0.1112567683,0.1761185523,0.1668851525,0.3114847535,522,1521,1364,2627,2817,5364,838,1229,588,463,111,101
"anch",260283,100368,4395766279,683445939,260283,187779,15201,18800,14266,2027,5745,16465,260283,245545,14738,56933,94822,37889,254273,55546,0.9610808236,0.0389191764,32178,2207,125637,4126,1909,31051,2065,120792,4507,3312,0.8900387113,0.0201633798,0.9057386236,0.3702333807,0.9001293434,0.366054274,0.9029456453,0.3681525158,0.07002457,0.0557924117,0.0635507499,0.1084312299,0.0949913644,0.0984358866,0.0740831396,0.0656996024,0.041060535,0.1022433988,0.0734722129,0.5837250184,0.2605900418,0.2063691938,0.6004197338,0.3995802662,0.7355051828,0.2644948172,830,1625,1055,1719,2019,1531,0.0945437977,0.1851008087,0.1201731404,0.1958081786,0.2299806356,0.1743934389,274,843,673,1286,1899,1482,556,782,382,433,120,49
"arlv",189453,90426,67002719,243499,189453,130794,17856,828,15761,127,15378,8709,189453,154241,35212,37364,86352,48988,185295,63001,1,0,13700,594,88503,3577,3244,13101,725,83735,4442,5952,0.6640901022,0.2330799855,0.8773028261,0.6664743137,0.8788959685,0.6096911991,0.8781006021,0.6380398145,0.0261796183,0.0284323586,0.0272178671,0.0775666896,0.1264305177,0.0965869282,0.1081656805,0.0745680225,0.0699645749,0.0699350266,0.0775574085,0.6069785105,0.4338057901,0.3227616941,0.4326940893,0.5673059107,0.6394295302,0.3605704698,724,1725,1258,1684,2070,4459,0.060738255,0.1447147651,0.1055369128,0.1412751678,0.1736577181,0.3740771812,204,505,552,976,1587,3798,520,1220,706,708,483,661
"atla",1481871,609863,2063867175,22420250,1481871,632538,721975,3881,50300,632,44249,28296,1481871,1382549,99322,312932,570581,257649,1442323,48219,0.9868051942,0.0131948058,156640,9176,676830,27690,19046,150689,8723,681537,38150,38618,0.8436230304,0.0881340909,0.8362968901,0.4608626513,0.8525618898,0.4288279696,0.8448083415,0.4440989476,0.0732272564,0.0732262786,0.0732267936,0.1994989192,0.1840521565,0.1983073886,0.1788809446,0.1154569531,0.112774237,0.1372945918,0.1350079004,0.5676510688,0.3412487475,0.2213928778,0.5484444803,0.4515555197,0.7107538653,0.2892461347,5879,12970,9291,12789,14877,25495,0.0723115337,0.1595306331,0.1142790372,0.1573043382,0.1829866791,0.3135877787,1637,5175,4982,8799,12900,24292,4242,7795,4309,3990,1977,1203
"aust",812280,335881,2562287673,84883107,812280,553829,73809,4490,36119,676,118953,24404,812280,583174,229106,165123,320766,155643,793476,46761,0.9303368297,0.0696631703,84473,4386,392414,13543,8785,79129,4818,365432,16478,15628,0.8855688767,0.036668945,0.8410742234,0.4772622441,0.8527540491,0.4395457555,0.8468448882,0.4586276156,0.0388917906,0.0434187883,0.0408968026,0.1558335929,0.1665402844,0.1414773264,0.128775999,0.1236700729,0.0589792317,0.0986026545,0.1252564665,0.6235907804,0.3300233753,0.1605070935,0.5147771273,0.4852228727,0.7813866334,0.2186133666,3157,5854,4692,6457,6344,8718,0.0896314803,0.1662029413,0.1332121969,0.1833229232,0.180114701,0.2475157572,1122,3293,3358,5348,5995,8406,2035,2561,1334,1109,349,312
"bake",661645,231564,21085000353,52980904,661645,406392,38804,9014,21562,778,155595,29500,661645,407586,254059,129661,208652,78991,630771,35446,0.8832002055,0.1167997945,90907,5648,311950,15870,11022,85913,5625,287520,18634,16649,0.9219311113,0.0136506292,0.6825739059,0.2087323436,0.6868252593,0.1901527476,0.6846718639,0.1995636841,0.1105829188,0.1283503719,0.11844785,0.3184543638,0.2849440405,0.2917489088,0.2411684882,0.1826119229,0.0992828918,0.11180505,0.2076014909,0.5275067463,0.1783763824,0.0738601428,0.6214222725,0.3785777275,0.787476374,0.212523626,3486,6546,5894,8011,6878,9924,0.0855691107,0.1606814109,0.1446770907,0.1966420383,0.16883085,0.2435994993,1415,3687,4579,6649,6295,9456,2071,2859,1315,1362,583,468
"balt",651154,300477,209282442,29198774,651154,206445,417231,2247,10256,128,4659,10188,651154,640053,11101,129879,257996,128117,626051,30078,1,0,68711,4039,270598,18751,13803,66893,3977,294623,26324,27055,0.6992777887,0.1947805095,0.6756506265,0.2252751327,0.6903489728,0.227480142,0.6837344875,0.2264878534,0.1104024922,0.103755536,0.1069059302,0.3524863777,0.351443955,0.3061741613,0.2757637786,0.2067397645,0.1769628521,0.1831519044,0.2292369152,0.4289704519,0.1466935808,0.0816565328,0.5034147816,0.4965852184,0.624117798,0.375882202,3372,7911,6509,9285,9129,26138,0.0540870012,0.1268927242,0.1044045939,0.1489317336,0.146429488,0.4192544591,527,1620,2137,4092,6641,23893,2845,6291,4372,5193,2488,2245
"batr",412852,169073,1179553107,39139418,412852,232492,163787,1102,8729,154,2111,4477,412852,405148,7704,96305,156365,60060,398888,37224,0.9292288762,0.0707711238,45318,3289,181967,9441,6608,43560,2664,190018,12658,12160,0.928712777,0.0140637897,0.8375934559,0.355624945,0.8401060742,0.3211327751,0.8389415237,0.3371192355,0.0624769889,0.0632439137,0.0628493723,0.2575926442,0.2202531646,0.2273152214,0.2131407581,0.166868027,0.1088087673,0.1236915562,0.1786867492,0.4819263297,0.1855645123,0.0843472688,0.6158986986,0.3841013014,0.8157344581,0.1842655419,1590,3841,2665,3590,5690,9889,0.058316523,0.1408765817,0.0977443609,0.13167064,0.2086924629,0.3626994315,567,2119,1912,2843,5320,9480,1023,1722,753,747,370,409
