"city","rank","stfips","cofips","state","statename","fips","county","cityname","order","citynameU","region","old","pop"
"la",1,6,37,"CA","California",6037,"Los Angeles County","Los Angeles",1,"Los Angeles","SC",1,9519338
"ny",2,36,5,"NY","New York",36005,"Bronx County","New York",2,"New York","NE",1,1332650
"ny",2,36,47,"NY","New York",36047,"Kings County","New York",3,"New York","NE",1,2465326
"ny",2,36,61,"NY","New York",36061,"New York County","New York",4,"New York","NE",1,1537195
"ny",2,36,85,"NY","New York",36085,"Richmond County","New York",5,"New York","NE",1,443728
"ny",2,36,81,"NY","New York",36081,"Queens County","New York",6,"New York","NE",1,2229379
"ny",2,36,119,"NY","New York",36119,"Westchester County","New York",7,"New York","NE",1,923459
"chic",3,17,31,"IL","Illinois",17031,"Cook County","Chicago",8,"Chicago","IM",1,5376741
"hous",5,48,201,"TX","Texas",48201,"Harris County","Houston",9,"Houston","SE",1,3400578
"sand",6,6,73,"CA","California",6073,"San Diego County","San Diego",10,"San Diego","SC",1,2813833
"staa",7,6,59,"CA","California",6059,"Orange County","Santa Ana/Anaheim",11,"Santa Ana/Anaheim","SC",1,2846289
"dlft",4,48,113,"TX","Texas",48113,"Dallas County","Dallas/Fort Worth",12,"Dallas/Fort Worth","SE",1,2218899
"dlft",4,48,439,"TX","Texas",48439,"Tarrant County","Dallas/Fort Worth",13,"Dallas/Fort Worth","SE",1,1446219
"dlft",4,48,85,"TX","Texas",48085,"Collin County","Dallas/Fort Worth",14,"Dallas/Fort Worth","SE",1,491675
"dlft",4,48,397,"TX","Texas",48397,"Rockwall County","Dallas/Fort Worth",15,"Dallas/Fort Worth","SE",1,43080
"phoe",8,4,13,"AZ","Arizona",4013,"Maricopa County","Phoenix",16,"Phoenix","SW",1,3072149
"det",9,26,163,"MI","Michigan",26163,"Wayne County","Detroit",17,"Detroit","IM",1,2061162
"miam",10,12,25,"FL","Florida",12025,"Dade County (renamed Miami-Dade 12086)","Miami",18,"Miami","SE",1,2253362
