"city","cityname","state","statename","coef","vcov"
"akr","Akron","OH","Ohio",0.00131153994272079,1.39620841069104e-06
"albu","Albuquerque","NM","New Mexico",0.00551177125784099,2.6727558656005e-06
"anch","Anchorage","AK","Alaska",NA,NA
"arlv","Arlington","VA","Virginia",0.0183361684018335,7.00557823661116e-06
"atla","Atlanta","GA","Georgia",0.00175929881671449,7.28775423560181e-07
"aust","Austin","TX","Texas",0.00270775381500672,8.1804271339281e-07
"bake","Bakersfield","CA","California",0.00666166165284346,1.0606871307262e-06
"balt","Baltimore","MD","Maryland",0.00380416716096389,1.08166934739505e-06
"batr","Baton Rouge","LA","Louisiana",0.00201624301981301,1.01038861977053e-06
"bidd","Biddeford","ME","Maine",-0.0091046632893568,3.6869961585277e-06
"birm","Birmingham","AL","Alabama",0.000899567605160973,1.23747027871844e-06
"bost","Boston","MA","Massachusetts",0.00194262169322541,9.5560943821798e-07
"buff","Buffalo","NY","New York",0.00482752198234253,4.09443263728571e-07
"cayc","Cayce","SC","South Carolina",NA,NA
"cdrp","Cedar Rapids","IA","Iowa",0.00315344373567967,1.47669966778871e-06
"char","Charlotte","NC","North Carolina",0.00625849972339589,1.68041486566639e-06
"chic","Chicago","IL","Illinois",0.00624009170996889,1.69916117632384e-07
"cinc","Cincinnati","OH","Ohio",0.0165870751270976,1.30395263378527e-06
"clev","Cleveland","OH","Ohio",0.00604377935536276,4.69562014427733e-07
"clmg","Columbus","GA","Georgia",0.00248156187465018,1.01700867894043e-06
"clmo","Columbus","OH","Ohio",0.00646837128231711,1.25624462577858e-06
"colo","Colorado Springs","CO","Colorado",0.00853156065963304,1.90537527477967e-06
"corp","Corpus Christi","TX","Texas",0.00120963006403929,1.12184938989974e-06
"covt","Coventry","RI","Rhode Island",-0.00583919128095846,1.28567394207964e-06
"dayt","Dayton","OH","Ohio",0.00590559835179816,1.62522060545252e-06
"dc","Washington","DC","District of Columbia",0.0106300341283849,9.12362633010244e-07
"denv","Denver","CO","Colorado",-0.00189644651347987,1.29553439330767e-06
"desm","Des Moines","IA","Iowa",0.00313930801330784,2.1576979866832e-06
"det","Detroit","MI","Michigan",0.0100474264737399,5.46655631462298e-07
"dlft","Dallas/Fort Worth","TX","Texas",0.00539292762831617,1.91963909501957e-07
"elpa","El Paso","TX","Texas",-0.00592550914979222,2.23488468946709e-06
"evan","Evansville","IN","Indiana",0.00242228410274335,1.61008329681587e-06
"fres","Fresno","CA","California",0.00389720416602477,1.48792687402448e-06
"ftwa","Fort Wayne","IN","Indiana",0.00382137232908854,2.01816957467828e-06
"gdrp","Grand Rapids","MI","Michigan",0.00766803557737652,1.502479015372e-06
"grnb","Greensboro","NC","North Carolina",0.00475280900982695,2.37502381575971e-06
"hono","Honolulu","HI","Hawaii",-0.00595853403924926,1.52884040449539e-06
"hous","Houston","TX","Texas",0.00222497757267716,2.21689629014224e-07
"hunt","Huntsville","AL","Alabama",0.0098548382652317,1.68210411506852e-06
"indi","Indianapolis","IN","Indiana",0.00659709364686206,1.26124517886086e-06
"jcks","Jackson","MS","Mississippi",-0.00131635091827014,1.3840795611724e-06
"jckv","Jacksonville","FL","Florida",-0.0040766032186246,7.86697231488462e-07
"jers","Jersey City","NJ","New Jersey",0.00557964265776866,8.21649549998138e-07
"john","Johnstown","PA","Pennsylvania",-0.00259156271697377,2.10359549852713e-06
"kan","Kansas City","MO","Missouri",0.00788554909088683,7.48649338948938e-07
"kans","Kansas City","KS","Kansas",0.00238213415111022,1.35761477794215e-06
"king","Kingston","NY","New York",0.00348226909164732,9.54507282566169e-07
"knox","Knoxville","TN","Tennessee",0.0016944054269076,2.20315409583636e-06
"la","Los Angeles","CA","California",0.00163272987062718,1.50924135569057e-07
